subject_id,scenario_id,rep,configuration,engine_mode,diag_component,diag_category,gt_role,gt_category,top1_aligned
s1-flask-catalog,F1,r4,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C2,llm-b-grounded,PostgreSQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r4,C2,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r4,C3,llm-b-freeform,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C3,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r4,C4,llm-b-freeform,database-migration-script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r4,C4,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r4,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r4,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r4,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r4,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r5,C1,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r5,C1,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r5,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r5,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r5,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r5,C2,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C2,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r5,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r5,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r5,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r5,C3,llm-b-grounded,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r5,C3,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r5,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r5,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C4,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r5,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r5,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C5,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r5,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r5,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r6,C1,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r6,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r6,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r6,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C2,llm-b-grounded,PostgreSQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r6,C2,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r6,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r6,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C3,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r6,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r6,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r6,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r6,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r6,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r6,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r6,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r6,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r7,C1,llm-b-freeform,Database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r7,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r7,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r7,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r7,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r7,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r7,C2,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C2,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r7,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r7,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r7,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r7,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r7,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r7,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r7,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r7,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r7,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C5,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r7,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r7,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r8,C1,llm-b-freeform,Database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r8,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r8,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r8,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r8,C2,llm-b-freeform,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r8,C2,llm-b-grounded,PostgreSQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r8,C2,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r8,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r8,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r8,C3,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r8,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r8,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r8,C4,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C4,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r8,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r8,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r8,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r8,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r8,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r9,C1,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r9,C1,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r9,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r9,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r9,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r9,C2,llm-b-grounded,PostgreSQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r9,C2,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r9,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r9,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r9,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r9,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r9,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r9,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r9,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r9,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r9,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r9,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r9,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r9,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F10,r1,C1,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C1,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C1,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C1,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C1,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C2,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C2,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C2,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C2,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C2,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C3,llm-b-freeform,Application API and frontend interactions,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C3,llm-freeform,API service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C3,llm-b-grounded,API endpoints,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C3,llm-grounded,application,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C3,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C4,llm-b-freeform,e2e test suite,test-reliability,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C4,llm-freeform,backend service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C4,llm-b-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C4,llm-grounded,API,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C4,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C5,llm-b-freeform,e2e test suite,test-reliability,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C5,llm-freeform,backend service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C5,llm-b-grounded,e2e test suite,test-reliability,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C5,llm-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r1,C5,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C1,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C1,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C1,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C1,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C1,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C2,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C2,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C2,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C2,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C2,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C3,llm-b-freeform,application server or frontend service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C3,llm-freeform,backend API service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C3,llm-b-grounded,e2e test suite and application API,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C3,llm-grounded,application,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C3,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C4,llm-b-freeform,/api/tests endpoint,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C4,llm-freeform,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C4,llm-b-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C4,llm-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C4,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C5,llm-b-freeform,/api/tests endpoint,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C5,llm-freeform,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C5,llm-b-grounded,e2e test suite,test-reliability,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C5,llm-grounded,e2e tests,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r10,C5,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C1,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C1,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C1,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C1,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C1,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C2,llm-b-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C2,llm-freeform,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C2,llm-b-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C2,llm-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C2,rule-grounded,unknown,unknown,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C3,llm-b-freeform,/api/tests endpoint,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C3,llm-freeform,API service,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C3,llm-b-grounded,API endpoint /api/tests,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C3,llm-grounded,API server,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C3,rule-grounded,backend,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C4,llm-b-freeform,API endpoint /api/tests,application,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C4,llm-freeform,e2e tests,test-reliability,test-suite,test-reliability,0
s1-flask-catalog,F10,r2,C4,llm-b-grounded,e2e test suite,test-reliability,test-suite,test-reliability,0
