run_id,scenario_id,rep,configuration,engine,engine_mode,model,diag_component,diag_category,gt_component,gt_category,top1_correct,top1_aligned,category_correct,bundle_chars,prompt_tokens,completion_tokens
F3-r10-B0,F3,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2831,894,53
F4-r2-B0,F4,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,application,backend,application,0,0,1,3038,949,51
F4-r3-B0,F4,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,application,backend,application,0,0,1,3259,1033,45
F4-r4-B0,F4,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,application,backend,application,0,0,1,3331,1046,51
F4-r5-B0,F4,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,backend,application,0,0,0,3054,953,52
F4-r6-B0,F4,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,application,backend,application,0,0,1,3211,986,53
F4-r7-B0,F4,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,backend,application,0,0,0,3239,1007,53
F4-r8-B0,F4,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,backend,application,0,0,0,3194,1001,53
F4-r9-B0,F4,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,backend,application,0,0,0,3198,993,53
F4-r10-B0,F4,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,backend,application,0,0,1,41127,11608,59
F5-r1-B0,F5,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,frontend,application,0,0,1,31957,8508,54
F5-r2-B0,F5,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,frontend,application,0,0,0,2812,905,51
F5-r3-B0,F5,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,frontend,application,0,0,0,41054,11564,65
F5-r4-B0,F5,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,frontend,application,0,0,1,41041,11605,54
F5-r5-B0,F5,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,frontend,application,0,0,0,41194,11666,66
F5-r6-B0,F5,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,frontend,application,0,0,0,2814,897,51
F5-r7-B0,F5,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,frontend,application,0,0,0,2155,777,52
F5-r8-B0,F5,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,frontend,application,0,0,0,41147,11614,65
F5-r9-B0,F5,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,frontend,application,0,0,1,37039,10244,57
F5-r10-B0,F5,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,frontend,application,0,0,0,4011,1367,48
F6-r1-B0,F6,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,app-deployment,infrastructure,0,0,0,41094,11617,58
F6-r2-B0,F6,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2143,764,54
F6-r3-B0,F6,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,41067,11652,66
F6-r4-B0,F6,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,41660,11889,62
F6-r5-B0,F6,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,41055,11529,65
F6-r6-B0,F6,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,40954,11583,65
F6-r7-B0,F6,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2812,916,53
F6-r8-B0,F6,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,41149,11693,65
F6-r9-B0,F6,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,41089,11580,65
F6-r10-B0,F6,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,app-deployment,infrastructure,0,0,0,42044,11957,65
F7-r1-B0,F7,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,svc-backend,application,service,infrastructure,0,1,0,10862,3330,59
F7-r2-B0,F7,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,svc-backend,application,service,infrastructure,0,1,0,10817,3266,63
F7-r3-B0,F7,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,service,infrastructure,0,0,0,44337,12788,60
F7-r4-B0,F7,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,service,infrastructure,0,0,1,36862,10183,64
F7-r5-B0,F7,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,service,infrastructure,0,0,0,41409,11626,66
F7-r6-B0,F7,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,service,infrastructure,0,0,0,36858,10177,66
F7-r7-B0,F7,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,service,infrastructure,0,0,0,41010,11433,65
F7-r8-B0,F7,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,service,infrastructure,0,0,0,41145,11560,54
F7-r9-B0,F7,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,service,infrastructure,0,0,0,41040,11595,66
F7-r10-B0,F7,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,service,infrastructure,0,0,0,41166,11560,54
F8-r1-B0,F8,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,backend,observability,0,0,0,41574,11793,59
F8-r2-B0,F8,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,backend,observability,0,0,0,42741,12075,59
F8-r3-B0,F8,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,41492,11746,65
F8-r4-B0,F8,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,backend,observability,0,0,0,41443,11749,55
F8-r5-B0,F8,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,41938,11911,66
F8-r6-B0,F8,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,41427,11653,65
F8-r7-B0,F8,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,41610,11753,66
F8-r8-B0,F8,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,42335,12118,65
F8-r9-B0,F8,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,backend,observability,0,0,0,41547,11780,66
F8-r10-B0,F8,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,backend,observability,0,0,0,41377,11661,57
F9-r1-B0,F9,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,seed-job,database,0,0,0,30810,8549,66
F9-r2-B0,F9,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,seed-job,database,0,0,0,30830,8488,66
F9-r3-B0,F9,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,30811,8534,64
F9-r4-B0,F9,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,30807,8583,64
F9-r5-B0,F9,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,seed-job,database,0,0,0,30811,8529,66
F9-r6-B0,F9,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,30831,8586,64
F9-r7-B0,F9,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,30806,8642,64
F9-r8-B0,F9,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,seed-job,database,0,0,0,30811,8548,60
F9-r9-B0,F9,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,30810,8610,64
F9-r10-B0,F9,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,infrastructure,seed-job,database,0,0,0,31123,8741,64
F10-r1-B0,F10,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41496,11672,55
F10-r2-B0,F10,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41563,11731,55
F10-r3-B0,F10,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41536,11616,54
F10-r4-B0,F10,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,test-suite,test-reliability,0,0,1,41483,11647,66
F10-r5-B0,F10,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,ai-tests,test-reliability,test-suite,test-reliability,0,0,1,41773,11881,70
F10-r6-B0,F10,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41715,11762,54
F10-r7-B0,F10,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,e2e-tests,test-reliability,test-suite,test-reliability,0,0,1,41481,11676,65
F10-r8-B0,F10,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,42210,11951,63
F10-r9-B0,F10,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41624,11764,55
F10-r10-B0,F10,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,microcks-import,application,test-suite,test-reliability,0,0,0,41669,11725,55
